Game,Date,Location,Opp,Win ,Points,FG,FGA,FG3,FG3A,FT,FTA,Rebounds,OffReb,Assists,Steals,Blocks,Turnovers,Fouls,OppPoints,OppFG,OppFGA,OppFG3,OppFG3A,OppFT,OppFTA,OppRebounds,OppOffReb,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppFouls
1,10/16/2018,Home,OKC,W,108,42,95,7,26,17,18,58,17,28,7,7,21,29,100,33,91,10,37,24,37,45,16,21,12,6,14,21
2,10/19/2018,Away,UTA,W,124,49,87,10,19,16,18,43,8,27,10,6,16,23,123,40,89,19,46,24,29,38,10,24,11,4,16,19
3,10/21/2018,Away,DEN,L,98,36,79,7,29,19,24,40,6,22,4,6,18,29,100,35,86,6,32,24,42,47,13,21,11,4,8,22
4,10/22/2018,Home,PHO,W,123,45,88,14,37,19,26,40,7,35,12,4,14,24,103,39,86,9,34,16,18,45,12,24,8,1,21,21
5,10/24/2018,Home,WAS,W,144,53,92,15,33,23,25,48,10,37,6,5,15,22,122,42,93,12,42,26,28,34,7,22,7,1,12,24
6,10/26/2018,Away,NYK,W,128,51,87,16,33,10,12,39,6,26,10,6,14,16,100,39,90,13,39,9,12,40,11,17,6,1,19,18
7,10/28/2018,Away,BRK,W,120,44,89,11,33,21,24,47,12,28,11,7,12,16,114,42,87,20,42,10,15,37,5,28,5,3,15,20
8,10/29/2018,Away,CHI,W,149,53,96,24,45,19,26,49,8,34,9,7,7,29,124,46,94,11,35,21,34,44,12,25,6,3,9,19
9,10/31/2018,Home,NOP,W,131,47,89,16,32,21,30,46,12,39,10,4,17,24,121,44,92,12,35,21,27,42,12,24,8,2,15,26
10,11/2/2018,Home,MIN,W,116,43,88,13,34,17,22,61,12,31,3,9,16,16,99,38,101,13,45,10,14,39,8,25,8,4,5,16
11,11/5/2018,Home,MEM,W,117,41,81,13,24,22,23,46,8,29,4,4,13,25,101,38,83,9,27,16,21,30,4,31,8,8,10,19
12,11/8/2018,Home,MIL,L,111,42,87,10,28,17,22,38,8,31,5,6,18,22,134,52,101,9,35,21,27,46,13,33,11,7,12,23
13,11/10/2018,Home,BRK,W,116,46,83,7,16,17,21,36,6,27,9,7,10,24,100,36,77,7,24,21,29,41,12,20,7,2,14,22
14,11/12/2018,Away,LAC,L,116,44,94,12,31,16,23,46,11,27,7,8,17,25,121,43,91,5,20,30,34,49,6,23,11,5,15,23
15,11/13/2018,Home,ATL,W,110,39,91,12,27,20,21,48,13,28,8,6,13,20,103,40,89,12,32,11,15,42,10,25,9,2,14,18
16,11/15/2018,Away,HOU,L,86,32,76,4,18,18,22,44,12,18,2,5,16,24,107,35,87,16,47,21,26,41,14,20,8,4,5,21
17,11/17/2018,Away,DAL,L,109,42,94,9,33,16,17,47,12,24,6,6,12,27,112,40,86,10,34,22,34,46,8,18,6,5,10,18
18,11/18/2018,Away,SAS,L,92,35,86,5,26,17,21,46,10,20,6,4,11,17,104,41,92,10,24,12,17,48,11,24,3,5,10,18
19,11/21/2018,Home,OKC,L,95,36,83,7,29,16,24,42,7,24,7,10,17,18,123,51,106,13,35,8,15,61,18,29,10,5,10,23
20,11/23/2018,Home,POR,W,125,48,85,17,32,12,16,43,6,29,11,10,15,22,97,38,93,9,24,12,22,39,12,22,9,2,13,16
21,11/24/2018,Home,SAC,W,117,41,88,10,34,25,29,54,12,28,5,6,14,24,116,42,97,11,28,21,29,47,13,28,6,4,8,22
22,11/26/2018,Home,ORL,W,116,41,84,13,35,21,23,46,10,21,8,7,14,19,110,40,90,14,30,16,21,34,6,28,11,2,11,21
23,11/29/2018,Away,TOR,L,128,50,103,11,30,17,20,46,17,27,6,5,14,22,131,47,90,15,38,22,24,37,7,25,5,6,14,23
24,12/1/2018,Away,DET,L,102,39,85,6,26,18,21,44,8,23,6,5,14,22,111,43,98,12,35,13,20,47,14,22,8,2,11,21
25,12/3/2018,Away,ATL,W,128,48,82,13,24,19,22,39,6,33,10,8,20,24,111,44,90,5,26,18,24,35,9,23,10,4,18,21
26,12/5/2018,Away,CLE,W,129,45,85,18,34,21,24,46,9,29,6,5,8,17,105,39,89,11,32,16,23,41,12,17,7,2,10,19
27,12/7/2018,Away,MIL,W,105,40,89,19,46,6,7,43,6,32,7,6,17,20,95,36,92,7,39,16,23,54,15,18,10,3,18,21
28,12/10/2018,Home,MIN,W,116,39,93,19,43,19,21,49,14,25,6,5,16,26,108,38,83,7,25,25,31,42,9,28,5,6,16,18
29,12/12/2018,Home,TOR,L,93,39,82,6,26,9,13,40,5,28,5,11,19,18,113,44,91,9,28,16,19,48,10,27,12,3,11,17
30,12/14/2018,Away,SAC,W,130,44,96,15,40,27,36,60,15,32,5,0,18,23,125,45,96,15,44,20,25,42,7,33,6,3,13,28
31,12/17/2018,Home,MEM,W,110,37,85,12,31,24,27,42,6,23,10,5,10,19,93,36,79,7,25,14,18,41,2,24,6,4,16,23
32,12/19/2018,Away,UTA,L,103,38,95,10,31,17,18,48,10,18,10,9,12,21,108,37,93,16,42,18,22,52,10,30,7,6,16,16
33,12/22/2018,Home,DAL,W,120,45,98,15,43,15,16,54,15,34,7,7,13,23,116,42,92,14,39,18,28,46,11,28,9,3,13,14
34,12/23/2018,Home,LAC,W,129,42,93,14,40,31,36,46,15,22,9,7,7,27,127,43,80,18,23,23,29,42,5,23,1,1,15,25
35,12/25/2018,Home,LAL,L,101,38,93,9,36,16,21,37,7,28,5,1,13,21,127,47,85,13,33,20,27,49,6,27,5,3,12,20
36,12/27/2018,Home,POR,L,109,45,106,13,44,6,15,59,14,36,10,9,15,19,110,38,105,13,40,21,23,54,11,20,7,4,14,18
37,12/29/2018,Away,POR,W,115,40,80,12,25,23,28,42,5,27,9,4,12,18,105,39,91,9,31,18,22,46,11,18,6,4,13,17
38,12/31/2018,Away,PHO,W,132,46,84,14,28,26,32,44,7,31,7,8,15,24,109,37,85,9,26,26,30,38,7,20,7,3,13,29
39,1/3/2019,Home,HOU,L,134,53,102,14,37,14,15,47,9,33,8,6,14,19,135,45,99,21,54,24,28,48,13,30,8,5,10,20
40,1/5/2019,Away,SAC,W,127,47,93,21,47,12,14,47,12,29,5,8,13,16,123,46,97,20,36,11,14,43,14,34,12,0,8,18
41,1/8/2019,Home,NYK,W,122,49,96,14,45,10,12,49,15,36,9,10,15,14,95,35,88,6,24,19,21,39,9,13,11,1,16,12
42,1/11/2019,Home,CHI,W,146,53,92,18,39,22,26,49,11,38,6,8,12,27,109,35,78,9,20,30,34,29,5,16,9,1,13,21
43,1/13/2019,Away,DAL,W,119,45,99,19,45,10,12,49,16,26,9,8,10,22,114,38,91,16,38,22,29,51,18,21,5,4,12,14
44,1/15/2019,Away,DEN,W,142,57,95,21,39,7,10,50,12,38,6,4,10,20,111,42,92,14,34,13,16,36,9,30,4,3,8,12
45,1/16/2019,Home,NOP,W,147,49,102,24,49,25,31,57,10,33,8,5,10,24,140,47,98,19,37,27,33,49,7,36,6,5,10,23
46,1/18/2019,Away,LAC,W,112,42,86,9,37,19,27,43,3,31,11,8,10,24,94,31,85,4,25,28,35,52,12,11,6,4,18,30
47,1/21/2019,Away,LAL,W,130,50,98,16,37,14,19,50,13,41,8,6,10,27,111,42,84,5,20,22,38,42,7,20,1,4,14,19
48,1/24/2019,Away,WAS,W,126,50,88,7,20,19,21,50,8,34,5,6,15,21,118,44,95,15,42,15,21,36,9,29,7,2,10,22
49,1/26/2019,Away,BOS,W,115,37,83,12,33,29,34,53,11,25,8,7,14,19,111,41,99,15,40,14,15,49,15,23,6,4,14,22
50,1/28/2019,Away,IND,W,132,53,98,13,31,13,16,48,13,39,9,7,12,19,100,40,94,12,30,8,10,38,10,29,4,5,15,18
51,1/31/2019,Home,PHI,L,104,41,88,11,38,11,16,37,9,30,13,7,15,19,113,41,88,12,37,19,24,49,16,30,11,5,19,19
52,2/2/2019,Home,LAL,W,115,43,91,11,34,18,19,44,7,31,4,9,10,17,101,42,96,7,27,10,17,49,13,23,5,4,15,18
53,2/6/2019,Home,SAS,W,141,55,95,16,34,15,21,52,14,42,14,5,11,20,102,35,81,12,32,20,21,30,4,24,6,5,18,19
54,2/8/2019,Away,PHO,W,117,41,81,10,29,25,35,49,9,30,5,9,18,23,107,39,101,6,31,23,30,48,19,23,12,1,11,28
55,2/10/2019,Home,MIA,W,120,44,82,13,36,19,26,36,7,28,8,5,12,16,118,48,105,18,43,4,8,52,21,32,6,4,16,22
56,2/12/2019,Home,UTA,W,115,44,89,13,41,14,21,40,5,29,12,7,6,20,108,41,87,10,26,16,21,49,7,23,3,4,16,21
57,2/13/2019,Away,POR,L,107,39,97,13,38,16,18,49,18,26,1,9,8,26,129,43,93,16,37,27,34,48,14,24,3,4,4,16
58,2/21/2019,Home,SAC,W,125,43,94,19,46,20,24,49,8,32,5,11,15,26,123,43,99,10,33,27,34,52,14,23,10,3,13,24
59,2/23/2019,Home,HOU,L,112,42,90,14,36,14,20,45,9,26,9,10,17,19,118,40,92,16,43,22,24,49,12,26,13,7,14,23
60,2/25/2019,Away,CHO,W,121,48,95,14,41,11,13,49,13,35,9,8,15,18,110,40,91,7,33,23,26,38,9,23,13,6,12,11
61,2/27/2019,Away,MIA,L,125,44,89,17,48,20,28,37,8,21,7,3,8,21,126,42,83,18,41,24,30,48,12,20,4,6,13,31
62,2/28/2019,Away,ORL,L,96,39,97,9,40,9,10,47,9,16,5,3,12,14,103,40,89,11,31,12,15,53,9,24,2,9,15,14
63,3/2/2019,Away,PHI,W,120,41,81,14,33,24,34,39,4,23,14,7,13,22,117,39,87,14,31,25,29,46,11,26,6,3,21,25
64,3/5/2019,Home,BOS,L,95,34,85,8,35,19,23,45,9,26,5,2,21,24,128,49,96,14,34,16,17,46,9,38,12,5,11,24
65,3/8/2019,Home,DEN,W,122,45,84,18,35,14,21,43,7,32,11,10,17,28,105,33,87,12,33,27,35,46,14,21,9,3,17,22
66,3/10/2019,Home,PHO,L,111,42,95,10,43,17,22,49,15,34,10,6,17,24,115,42,86,10,25,21,27,48,9,26,10,4,14,18
67,3/13/2019,Away,HOU,W,106,42,85,12,32,10,10,44,12,28,7,2,14,20,104,37,78,11,41,19,23,31,5,18,7,3,10,16
68,3/16/2019,Away,OKC,W,110,39,83,15,35,17,22,53,8,25,10,6,16,22,88,31,96,13,41,13,23,52,17,18,4,5,16,18
69,3/18/2019,Away,SAS,L,105,41,88,13,39,10,12,43,7,27,7,6,13,20,111,41,88,10,26,19,22,46,10,20,7,5,10,12
70,3/19/2019,Away,MIN,W,117,44,91,19,42,10,14,46,8,39,6,7,13,25,107,36,89,9,36,26,32,52,13,25,7,0,13,14
71,3/21/2019,Home,IND,W,112,44,89,13,36,11,16,50,10,32,6,8,15,19,89,35,91,6,23,13,17,47,12,17,7,3,15,18
72,3/23/2019,Home,DAL,L,91,36,90,4,30,15,21,36,8,22,6,2,10,22,126,44,83,21,49,17,22,49,8,33,7,2,9,22
73,3/24/2019,Home,DET,W,121,46,74,13,25,16,19,37,7,31,3,5,13,23,114,39,84,12,31,24,25,29,10,25,6,0,6,13
74,3/27/2019,Away,MEM,W,118,45,84,15,31,13,15,46,6,30,9,7,14,19,103,39,100,10,31,15,21,51,19,22,11,5,9,16
75,3/29/2019,Away,MIN,L,130,46,98,18,40,20,28,45,8,27,11,3,14,24,131,45,103,14,38,27,34,59,15,25,7,3,16,24
76,3/31/2019,Home,CHO,W,137,53,88,21,33,10,12,50,10,41,7,10,15,19,90,30,85,8,32,22,25,28,7,24,8,4,11,11
77,4/2/2019,Home,DEN,W,116,50,92,13,34,3,8,55,13,36,11,11,24,21,102,36,96,7,30,23,29,40,12,23,19,4,15,15
78,4/4/2019,Away,LAL,W,108,43,98,18,46,4,5,51,9,30,11,5,14,18,90,37,104,8,37,8,14,62,18,25,10,7,18,10
79,4/5/2019,Home,CLE,W,120,46,87,20,37,8,8,38,4,29,2,8,13,21,114,43,97,7,30,21,23,48,12,21,9,1,5,11
80,4/7/2019,Home,LAC,W,131,53,97,12,37,13,15,48,11,34,16,8,9,22,104,38,79,10,19,18,29,39,6,26,7,4,20,22
81,4/9/2019,Away,NOP,W,112,43,89,12,30,14,21,58,11,25,8,3,14,17,103,44,99,9,33,6,10,42,7,29,9,1,10,15
82,4/10/2019,Away,MEM,L,117,46,92,13,30,12,14,39,9,32,3,5,14,17,132,48,98,21,46,15,18,49,15,25,9,0,11,18
