Player,Position,Age,Games,Goals,Assists,Points,PlusMinus,PenMins,MinPerGame
Chris Tierney,C,24,81,9,39,48,-22,26,17
Magnus Paajarvi,LW,27,80,11,8,19,-14,6,13.5
Bobby Ryan,LW,31,78,15,27,42,-29,35,15.7
Dylan DeMelo,D,25,77,4,18,22,-1,32,19.3
Cody Ceci,D,25,74,7,19,26,-22,18,22.6
Brady Tkachuk,LW,19,71,22,23,45,-10,75,16
Colin White,C,22,71,14,27,41,-24,24,16.2
Mikkel Boedker,RW,29,71,7,28,35,-23,6,14
Thomas Chabot,D,22,70,14,41,55,-12,32,24.3
Zack Smith,C,30,70,9,19,28,-6,81,16.4
Christian Jaros,D,22,61,1,9,10,-14,27,14.4
Mark Stone,RW,26,59,28,34,62,13,22,20.6
Ryan Dzingel,C,26,57,22,22,44,-13,29,17.8
Maxime Lajoie,D,21,56,7,8,15,-25,20,18.9
Mark Borowiecki,D,29,53,1,4,5,-12,89,15.6
Ben Harpur,D,24,51,1,4,5,-13,56,17.6
Matt Duchene,C,28,50,27,31,58,-2,6,19.2
Jean-Gabriel Pageau,C,26,39,4,8,12,-12,14,17.8
Tom Pyatt,C,31,37,0,2,2,-16,2,11.7
Rudolfs Balcers,LW,21,36,5,9,14,-7,10,12.4
Christian Wolanin,D,23,30,4,8,12,3,6,17.3
Anthony Duclair,LW,23,21,8,6,14,1,2,13.7
Brian Gibbons,C,30,20,6,8,14,3,4,12.2
Drake Batherson,C,20,20,3,6,9,-2,6,13.4
Oscar Lindberg,C,27,20,5,3,8,1,4,13.2
Nick Paul,LW,23,20,1,1,2,-10,4,8.5
