Month,Year,Sales
Jan,2009,310.2
Feb,2009,299.4
Mar,2009,328.5
Apr,2009,329.9
May,2009,347.7
June,2009,344.4
July,2009,348.1
Aug,2009,353.4
Sep,2009,324.6
Oct,2009,338.6
Nov,2009,339.4
Dec,2009,400.3
Jan,2010,314.6
Feb,2010,310.9
Mar,2010,360.7
Apr,2010,356.3
May,2010,365.6
June,2010,358.6
July,2010,361.9
Aug,2010,362.6
Sep,2010,346
Oct,2010,355.2
Nov,2010,365.8
Dec,2010,426.7
Jan,2011,335.6
Feb,2011,337.3
Mar,2011,387.1
Apr,2011,380.8
May,2011,392
June,2011,388.7
July,2011,384.7
Aug,2011,394.6
Sep,2011,375
Oct,2011,379.5
Nov,2011,391.2
Dec,2011,451.8
Jan,2012,355.2
Feb,2012,372.4
Mar,2012,414.1
Apr,2012,392.9
May,2012,418.6
June,2012,401
July,2012,396
Aug,2012,417.9
Sep,2012,385.6
Oct,2012,399.4
Nov,2012,411.1
Dec,2012,462.1
Jan,2013,375.6
Feb,2013,374
Mar,2013,421.7
Apr,2013,408.5
May,2013,437.2
June,2013,414.7
July,2013,422.4
Aug,2013,435
Sep,2013,396.2
Oct,2013,415.7
Nov,2013,423.8
Dec,2013,476.9
Jan,2014,383.1
Feb,2014,380
Mar,2014,432.7
Apr,2014,431.4
May,2014,459.2
June,2014,433.3
July,2014,443.3
Aug,2014,451.4
Sep,2014,421.4
Oct,2014,438.5
Nov,2014,439.2
Dec,2014,502.3
Jan,2015,398
Feb,2015,388.1
Mar,2015,446
Apr,2015,439.6
May,2015,464.8
June,2015,449.8
July,2015,459.5
Aug,2015,457.9
Sep,2015,432.8
Oct,2015,446.6
Nov,2015,446.8
Dec,2015,519.6
Jan,2016,402
Feb,2016,415.2
Mar,2016,461.2
Apr,2016,451.5
May,2016,470.4
June,2016,465
July,2016,462.2
Aug,2016,472
Sep,2016,448.7
Oct,2016,453.1
Nov,2016,467.8
Dec,2016,540.3
Jan,2017,421.6
Feb,2017,418
Mar,2017,483.1
Apr,2017,466.1
May,2017,495.3
June,2017,482.5
July,2017,476
Aug,2017,491.1
Sep,2017,470.4
Oct,2017,476.9
Nov,2017,499.4
Dec,2017,560.4
Jan,2018,445.5
Feb,2018,437
Mar,2018,510.4
Apr,2018,482.4
May,2018,530.1
June,2018,510
July,2018,508
Aug,2018,523.9
Sep,2018,481.1
Oct,2018,506.4
Nov,2018,522.8
Dec,2018,563.5
Jan,2019,459.1
Feb,2019,444.8
Mar,2019,518.3
Apr,2019,510.2
May,2019,547
June,2019,518
July,2019,533
Aug,2019,547.7
Sep,2019,499.4
